Test,Statistic,p_value
Breusch-Godfrey,11.09026553657641,0.003906424520270911
Breusch-Pagan,2.721728231967915,0.43654742894516996
Jarque-Bera,8.433503438987618,0.01474646745444224
ARCH(2),0.17936391225620163,0.9142219017118819
