Variable,Level,Diff,Lags,Order,Level_stat,Level_p,Diff_stat,Diff_p
ln_AGHGpc,-2.120 (0.535),-4.536 (0.000)***,0/0,I(1),-2.119844301320246,0.5349678509701384,-4.536351592303427,0.0001689452112009061
ln_AF,-0.890 (0.957),-2.999 (0.035)**,0/0,I(1),-0.8903311869911577,0.9571790150635241,-2.998728873652421,0.035013278120057396
ln_AF2,-0.586 (0.980),-3.006 (0.034)**,0/0,I(1),-0.5863270107547172,0.9796352172879257,-3.0059544037310246,0.03434206316234717
ln_SI,-2.183 (0.500),-11.278 (0.000)***,1/0,I(1),-2.1828543932243742,0.4995046616090059,-11.277997426440463,1.480075665604276e-20
ln_ST,-2.048 (0.575),-5.814 (0.000)***,0/0,I(1),-2.047821467776063,0.5751622436496178,-5.81412823850593,4.332231909469146e-07
ln_P,-5.793 (0.000)***,-2.711 (0.072)*,10/5,I(0),-5.793092206685015,5.9120587487366954e-06,-2.710894209721083,0.07217199282890387
