Variable,Level,Diff,Order,Level_stat,Level_p,Diff_stat,Diff_p
ln_AGHGpc,-2.003 (0.600),-4.547 (0.000)***,I(1),-2.0029266186283743,0.5998385903099754,-4.5473185874993485,0.0001613474056846585
ln_AF,-1.886 (0.662),-3.113 (0.026)**,I(1),-1.8856616825248185,0.662066308618741,-3.1125236823014713,0.025640155541478964
ln_AF2,-1.760 (0.724),-3.177 (0.021)**,I(1),-1.7598632350817578,0.7237824965231019,-3.1772442994001016,0.02134023464249362
ln_SI,-3.189 (0.087)*,-10.226 (0.000)***,I(1),-3.18851638223285,0.08671433891671743,-10.226214820117496,5.168766287026349e-18
ln_ST,-1.926 (0.641),-5.967 (0.000)***,I(1),-1.9261607452677096,0.6410071553901169,-5.966880442985757,1.9781179565971852e-07
ln_P,0.132 (0.995),0.629 (0.988),I(0)†,0.13237327367758778,0.9953513296227863,0.6287295523872658,0.9883027668784344
