variable,coefficient,std_error,t_stat,p_value
const,0.40427360724841793,0.4918265665754153,0.8219840787848693,0.4110859583238953
ln_AGHGpc,1.0,0.0,,
ln_AF,0.8873628969773273,0.453243346622015,1.9578067799356995,0.05025268956638218
ln_AF2,-0.6098741506321139,0.4055201066092998,-1.5039307316509953,0.13259920312889073
ln_SI,-0.01623460452593768,0.04943737734611693,-0.3283872526707331,0.7426188799838191
